	id	qid1	qid2	question1	question2	is_duplicate
16	16	33	34	What does manipulation mean?	What does manipulation means?	1
26	26	53	54	What is web application?	What is the web application framework?	0
71	71	143	144	What is a narcissistic personality disorder?	What is narcissistic personality disorder?	1
227	227	455	456	Does cognition affect perception?	Does cognitive strain affect digestion?	0
238	238	477	478	Which online test series is best for GATE 2017 in CS stream?	Which test series is the best for GATE computer science stream?	1
296	296	592	593	How does concentric contractions differ from eccentric contractions?	How do concentric and eccentric contraction compare and contrast?	1
399	399	796	797	How do I pass a drug test for methamphetamine?	Can hair dye help pass a hair follicle drug test for daily meth smokers?	1
402	402	802	803	Do cricket players really drink tea on a tea break?	Do cricketers actually drink tea during tea break?	1
424	424	846	847	Why can’t charged molecules pass through the lipid cell membrane?	Why can't sodium channels pass through potassium channels?	0
476	476	950	951	Can climate change be reversed?	Can the global climate change be reversed or halted?	1
498	498	994	995	Is growing of hair a physical or a chemical change?	Can a bald person ever grow their hair back?	0
502	502	1002	1003	What will most likely cause World War III?	Is World War III imminent?	0
505	505	1008	1009	Where and how do the crop circles get generated?	What are crop circles?	1
506	506	1010	1011	Will baking soda help pass a urine test?	How does baking soda help you pass a drug test?	1
516	516	1030	1031	Does covering your head while sleeping cause brain damage?	Does binge drinking cause long term brain damage?	0
532	532	1062	1063	How imminent is world war III?	Are we heading toward World War 3?	1
557	557	1112	1113	How many Mechanical Engineers graduate from India per year?	How many mechanical engineers graduate per year in India?	1
600	600	1198	1199	Can we create free energy?	How do we make free energy?	1
654	654	1305	1306	Where can I get super high quality photos for any photo booth services in Sydney?	Where can I get professional photo booths service in Sydney?	1
678	678	1353	1354	Which book is best for Neet chemistry?	Which is the best book for chemistry for NEET?	1
696	696	1389	1390	How light bend with gravity?	If gravity bends light, can light bend gravity?	1
832	832	1659	1660	Can an auto immune disease cause insomnia?	What causes Auto Immune diseases?	0
867	867	1729	1730	How can constipation cause dizziness?	Can constipation cause dizziness?	0
923	923	1841	1842	Can an infinite amount of dark or vacuum or gravitational energy be created with expansion?	Is the potential energy of vacuum energy, virtual particles and/or dark energy infinite? NO MERGE	1
1018	1018	2031	2032	How does specific heat and heat capacity differ?	Is heat capacity the same as specific heat?	1
1030	1030	2054	2055	Are most blind people completely blind?	Are most blind people fully blind?	1
1100	1100	2193	2194	How do micro ATMs work? Which bank introduced them in India?	What is the best time to withdraw money from working ATM in present India?	0
1159	1159	2310	2311	Do women like men who wear cock rings?	Do women like seeing men ejaculating?	0
1233	1233	2458	2459	Where can I get fantastic value in Sydney for floor tiles?	Where can I get best quality wall and floor tiles at very affordable rates in Sydney area?	1
