	Unnamed: 0	id	qid1	qid2	question1	question2	is_duplicate	prediction_match
2	71	71	143	144	What is a narcissistic personality disorder?	What is narcissistic personality disorder?	1	3
16	557	557	1112	1113	How many Mechanical Engineers graduate from India per year?	How many mechanical engineers graduate per year in India?	1	1
17	600	600	1198	1199	Can we create free energy?	How do we make free energy?	1	3
18	654	654	1305	1306	Where can I get super high quality photos for any photo booth services in Sydney?	Where can I get professional photo booths service in Sydney?	1	1
22	867	867	1729	1730	How can constipation cause dizziness?	Can constipation cause dizziness?	0	3
42	1819	1819	3621	3622	What is a good inpatient drug and alcohol rehab center near Monroe County MI?	What is a good inpatient drug and alcohol rehab center near Barry County MI?	0	2
47	2040	2040	4059	4060	Where you can find Pest control service in Sydney?	Where can I get environment friendly pest control service in Sydney?	0	2
55	2453	2453	4875	4876	How does one ejaculate without achieving orgasm?	Can one ejaculate without orgasm?	1	1
57	2526	2526	5019	5020	Can I paint glass with acrylic paint? Why or why not?	How do you use acrylic paint on glass?	0	3
68	2972	2972	5894	5895	Can you get pregnant one day before ovulation?	Can u get pregnant the day after your period ends?	1	3
78	3287	3287	6516	6517	Can I change my eye colour using hypnosis?	Can people really change their eye colors by hypnosis?	1	3
84	3416	3416	6771	6772	Can any one suggest the best foods for gaining weight?	Which is the best food to gain weight?	1	3
99	3934	3934	7792	7793	Are there any supplements out there that actually burn belly fat and lower body fat?	What can burn body fat? Are natural supplements helpful for losing weight?	1	3
108	4237	4237	8378	8379	Can we harness electrical power from the lightning?	Will we be able to gain energy from lightning?	1	3
110	4400	4400	8696	8697	What is the best treatment to reduce puffy eyes?	How do you cure puffy eyes?	1	3
111	4450	4450	8794	8795	What is a suitable inpatient drug and alcohol rehab center near Bond County IL?	What is a suitable inpatient drug and alcohol rehab center near Champaign County IL?	0	2
115	4520	4520	8931	8932	Can I get patent for a simple idea?	Can I patent an app idea?	1	3
126	5041	5041	9939	9940	Where can I get professional and timely electrical service in Inner West?	Where can I get effective solutions against bed bug removals in Inner West?	0	2
127	5131	5131	10111	10112	What is the membranous system involved in intracellular transport?	What is cell membrane transport?	0	1
138	5701	5701	11206	11207	How can I stop mouth breathing while sleeping at night?	I've got three sleep paralysis last night? How can I stop this?	0	3
147	6090	6090	11942	11943	How far can you drive a car  without a wireless car key?	How can I learn to drive a car without having a car?	0	3
154	6420	6420	12579	12580	What is the difference between a artificial neural network and a spiking neural network?	What is the difference between an artificial neural network and a biological neural network?	0	2
157	6524	6524	12777	12778	Why do subpolar zones have low air pressure?	What causes low air pressure in the Earth's atmosphere?	0	1
158	6579	6579	12882	12883	Where can I get very competitive exterior plastering service in Boston?	Where can I get high quality plastering services in Boston at very competitive rates?	0	2
160	6672	6672	13062	13063	Which is a good inpatient drug and alcohol rehab center in Logan County IL?	Which is a suitable inpatient drug and alcohol rehab center in Adams County IL?	0	2
168	6917	6917	13538	13539	How far can the human eye see on perfectly flat land?	Can people see atoms with their naked eye?	0	3
173	7182	7182	14042	14043	How does the activation energy of a reaction affect the overall rate of the chemical reaction?	What is the activation energy for a reverse reaction?	0	1
174	7304	7304	14273	14274	Where could I find a SD Memory Card data recovery software free of cost?	Where can I get an SD memory card data recovery software free of cost?	1	1
178	7400	7400	14459	14460	Which is a suitable inpatient drug and alcohol rehab center near Sumter County GA?	Which is a suitable inpatient drug and alcohol rehab center near Early County GA?	0	2
179	7441	7441	14537	14538	What is a suitable inpatient drug and alcohol rehab center near Morgan County IL?	What is a suitable inpatient drug and alcohol rehab center near Cook County IL?	0	2
180	7467	7467	14587	14588	Is sex addiction a reality?	Is sex addiction a real condition?	1	1
187	7913	7913	15443	15444	Which is a suitable inpatient drug and alcohol rehab center near Carter County KY?	Which is a suitable inpatient drug and alcohol rehab center near Robertson County KY?	0	2
190	7968	7968	15550	15551	What is the role of the activation function in a neural network?	Can Neural Networks perform well on the task of Function Approximation?	0	2
194	8172	8172	15937	15938	How much an average human mind can store information?	How much information can human brain store?	1	3
197	8339	8339	16261	16262	What are the best rock bands?	What is the best rock band of all time?	1	1
199	8409	8409	14587	16395	Is sex addiction a reality?	Is sex addiction a real thing?	1	1
211	8818	8818	17169	17170	How do converting used motor oil to diesel oil?	How do converting waste lubricant oil to diesel fuel?	1	1
212	8825	8825	17182	17183	Where can I get best DJs for School Discos in Sydney?	Where can I find best quality DJ for School Discos in Sydney?	1	2
